--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
000.919  000.014: window checked
000.921  000.002: parsing arguments
001.262  000.032  000.032: require('vim.shared')
001.359  000.036  000.036: require('vim.inspect')
001.391  000.024  000.024: require('vim._options')
001.393  000.129  000.068: require('vim._editor')
001.394  000.185  000.024: require('vim._init_packages')
001.395  000.289: init lua interpreter
003.686  002.290: expanding arguments
003.697  000.011: inits 2
003.885  000.188: init highlight
003.899  000.015: clear screen
003.994  000.008  000.008: require('vim.keymap')
004.685  000.118  000.118: sourcing nvim_exec2()
004.797  000.895  000.769: require('vim._defaults')
004.798  000.004: init default mappings & autocommands
005.336  000.035  000.035: sourcing /opt/homebrew/Cellar/neovim/0.11.4/share/nvim/runtime/ftplugin.vim
005.409  000.021  000.021: sourcing /opt/homebrew/Cellar/neovim/0.11.4/share/nvim/runtime/indent.vim
006.680  000.615  000.615: require('lazy')
006.728  000.035  000.035: require('ffi')
006.767  000.023  000.023: require('vim.fs')
006.937  000.169  000.169: require('vim.uri')
006.945  000.215  000.024: require('vim.loader')
007.167  000.205  000.205: require('lazy.stats')
007.353  000.148  000.148: require('lazy.core.util')
007.511  000.156  000.156: require('lazy.core.config')
007.824  000.169  000.169: require('lazy.core.handler')
008.140  000.110  000.110: require('lazy.pkg')
008.143  000.215  000.104: require('lazy.core.meta')
008.148  000.323  000.108: require('lazy.core.plugin')
008.153  000.641  000.150: require('lazy.core.loader')
008.693  000.149  000.149: require('lazy.async')
009.068  000.241  000.241: require('lazy.manage.process')
009.168  000.099  000.099: require('lazy.terminal')
009.171  000.476  000.136: require('lazy.manage.task')
009.173  000.742  000.116: require('lazy.manage.runner')
009.175  000.845  000.104: require('lazy.manage')
009.177  000.949  000.103: require('lazy.view.commands')
009.268  000.078  000.078: require('lazy.core.fragments')
011.827  000.126  000.126: require('lazy.core.handler.keys')
011.930  000.099  000.099: require('lazy.core.handler.cmd')
012.113  000.087  000.087: require('lazy.core.handler.event')
012.115  000.183  000.096: require('lazy.core.handler.ft')
